"","X.3","X.2","X.1","X","Census.Tract","Pesticides","Tox..Release","Pollution.Burden.Score","PM2.5","Traffic","Ozone","Asthma"
"121",121,121,121,121,6065042209,0.156407645,804.473002,7.89413758831457,12.37480713,1404.468239,0.0685917,61.6
"122",122,122,122,122,6019000800,2049.024628,1943.527959,7.1193486784828,13.27786952,88.16642645,0.060311,139.35
"123",123,123,123,123,6037292000,0.061145988,13141.17318,9.16601510053309,12.06089249,2548.275568,0.04125212,57.93
"124",124,124,124,124,6065030300,0,651.0443421,7.9598903613854,12.47661627,1186.647805,0.06718273,95.27
"125",125,125,125,125,6037575801,0,13584.90007,7.30128609731745,11.70661336,696.6015045,0.03975537,104.11
"126",126,126,126,126,6029002100,0,30.33933383,7.14306641651066,15.83431856,902.2936298,0.06464682,81.76
"127",127,127,127,127,6037433801,0,2728.063314,8.71875633511952,12.03999382,588.4735897,0.05530288,65.92
"128",128,128,128,128,6037199000,0,1700.55599,9.39232946686974,12.97004897,2459.873712,0.04981739,60.2
"129",129,129,129,129,6037532900,0,4199.929891,7.07611801521416,12.15052197,1010.702094,0.04490202,80.16
"130",130,130,130,130,6037433102,0.816261319,2220.967997,8.45570958487816,11.99797143,1075.398537,0.05530288,65.48
"131",131,131,131,131,6037534203,2.248156219,5173.513306,8.41059789242936,12.0818703,925.9154496,0.04632538,54.25
"132",132,132,132,132,6099003802,3.395768546,113.9254659,7.95014877748215,12.77305813,1164.652395,0.05605125,77.81
"133",133,133,133,133,6037302302,0,5560.003967,8.40026373369296,11.87080549,987.5232579,0.05334987,67.87
"134",134,134,134,134,6071012500,0,525.3823445,7.86811685400508,11.92427528,1883.771741,0.07000067,75.79
"135",135,135,135,135,6071004900,0,723.9150188,7.0303873254088,11.5389507,1178.491339,0.07156633,97.86
"136",136,136,136,136,6039000900,0.525070589,7174.775411,7.42484378635881,12.66649527,1093.14832,0.05846283,93.91
"137",137,137,137,137,6037432700,0.029463901,2053.384338,9.04759127065516,11.93241395,1531.863351,0.05763123,51.4
"138",138,138,138,138,6037291110,0,9899.106607,7.87560111413912,12.13197187,2374.418694,0.04259906,81.43
"139",139,139,139,139,6037239701,0,4866.87321,6.82261431653609,12.11496733,3238.402884,0.0438112,113.88
"140",140,140,140,140,6047001302,0,18.8628667,6.65038094617462,12.19020915,1042.881892,0.05530288,140.11
"141",141,141,141,141,6037536103,0,6252.600057,8.61120830265625,12.03418998,982.9633037,0.04539285,52.53
"142",142,142,142,142,6037240010,0,5502.180013,7.09414467290752,12.10418364,1126.061122,0.04435661,78.89
"143",143,143,143,143,6047001301,3.508915258,34.3251006,7.29236639440711,12.22764027,1156.341186,0.05530288,128.76
"144",144,144,144,144,6037402402,23.0070535,1182.213664,8.76601981564741,12.44092467,1466.886544,0.05605125,66.68
"145",145,145,145,145,6037536000,0,5794.34668,8.76395744258257,12.062437,835.6237977,0.04539285,44.43
"146",146,146,146,146,6019006802,7186.007843,626.4330038,7.07528464214544,13.25232473,646.7282871,0.06236471,125.9
"147",147,147,147,147,6037206200,0.054574439,2161.44631,8.41712506561457,12.70828375,683.6233014,0.04791979,77.42
"148",148,148,148,148,6037532500,0,3648.173299,8.59868420870487,12.10088367,801.6312981,0.04632538,54
"149",149,149,149,149,6037542502,0,17624.42977,7.32064654166599,12.12536191,639.0117221,0.04259906,110.96
"150",150,150,150,150,6065046700,0.011983905,1016.485677,7.77052894060271,11.43434633,1701.370963,0.0685917,62.07
"151",151,151,151,151,6037301601,0,1260.596639,9.19360289000307,11.787489,2364.847876,0.05685511,34.9
"152",152,152,152,152,6037541603,0,13868.45976,7.87272761759156,12.08913112,810.6770411,0.04320513,82.3
"153",153,153,153,153,6037203100,0,1883.244405,8.43745465989312,12.41775036,1663.608361,0.04939042,60.33
"154",154,154,154,154,6037602801,0,7747.353597,6.95817964855176,12.10553008,2797.270786,0.04259906,124.26
"155",155,155,155,155,6037204810,0,2655.466675,8.0092821682157,12.30827709,4050.333875,0.04791979,55.5
"156",156,156,156,156,6037541604,0,13894.81641,7.6361040593854,12.08865447,850.0133692,0.04320513,81.13
"157",157,157,157,157,6073003601,0,663.1013387,7.46422654614149,10.39058624,1429.379206,0.04259906,107.84
"158",158,158,158,158,6037543000,0.171971719,41789.12923,8.13093888231387,12.11120264,792.6218994,0.04259906,118.7
"159",159,159,159,159,6037228800,0,3318.633219,7.66513711853429,12.21219619,487.4645779,0.04588368,67
"160",160,160,160,160,6037542106,0,10471.85348,7.40352884612565,12.12382492,2336.401295,0.04320513,95.62
"161",161,161,161,161,6037241202,0,7505.680176,7.21618785556753,12.09974001,3162.308044,0.04259906,105.63
"162",162,162,162,162,6019002601,0,1757.276357,6.80996178680559,13.81665248,1609.502719,0.060311,119.77
"163",163,163,163,163,6037575802,0,12769.58984,6.69928731746305,11.70661336,525.5394672,0.03975537,119.54
"164",164,164,164,164,6037532800,0,3831.67334,7.52421113408758,12.15277014,1019.759087,0.04539285,73.85
"165",165,165,165,165,6037127210,0,724.6173401,7.49185485065633,11.99025794,1223.664584,0.06350576,109.5
"166",166,166,166,166,6071005701,0,563.3679962,6.92350235286416,11.36870408,1119.861894,0.073132,92.63
"167",167,167,167,167,6037541605,0,13953.22319,7.3560017683191,12.10598268,788.2341464,0.04320513,95.67
"168",168,168,168,168,6037123303,0,1019.091014,7.68867239124692,11.56904887,1078.155377,0.06236471,67.5
"169",169,169,169,169,6037229100,0,3605.526611,7.30901937441663,12.15277014,626.5593905,0.04539285,69.72
"170",170,170,170,170,6095250701,0.43191751,1040.584005,7.41153641592294,9.095673213,1032.450718,0.036244,199.35
"171",171,171,171,171,6037540203,0,8509.839802,7.31010435847875,12.03711727,2041.041484,0.04435661,67.87
"172",172,172,172,172,6001407300,0,422.1023356,7.60828204048798,9.08286493,1658.41929,0.02937227,113.3
